dataset,method,bin,dev,test
codex,EMBED (RR),4,0.6623677238821983,0.7353860916116753
codex,EMBED (RR),5,0.6625237464904785,0.731863047927618
codex,EMBED (RR),6,0.6683918982744217,0.7367017303366918
codex,EMBED (RR),7,0.6405359916388988,0.7179855435482554
codex,EMBED (RR),8,0.6676646620035172,0.7332940256676158
codex,EMBED (RR),9,0.6572710331529379,0.7323285659422746
codex,LESS (RR),0,0.4973314106464386,0.5966172182076687
codex,LESS (RR),1,0.6247683055698872,0.7118395945510348
codex,LESS (RR),2,0.6242334432899952,0.702128100435476
codex,LESS (RR),3,0.6224870551377535,0.6958626969843298
codex,LESS (RR),4,0.6620205789804459,0.7383888345715162
codex,LESS (RR),5,0.6563596166670322,0.7307725997792708
codex,LESS (RR),6,0.6701154988259077,0.7441126133340437
codex,LESS (RR),7,0.7001181542873383,0.7644604750581689
codex,LESS (RR),8,0.6959253959357738,0.7566339468231073
codex,LESS (RR),9,0.6969246827065945,0.7555384344949916
codex,RDS+ (RR),0,0.6457211002707481,0.7169303541650643
codex,RDS+ (RR),1,0.6759549472481012,0.7459525162907871
codex,RDS+ (RR),2,0.6416571736335754,0.7166317563906714
codex,RDS+ (RR),3,0.6740891057997942,0.7418918003504341
codex,RDS+ (RR),4,0.6536785122007132,0.7248193271760199
codex,RDS+ (RR),5,0.662902444601059,0.732850024124255
codex,RDS+ (RR),6,0.6695681978017092,0.7395408685142929
codex,RDS+ (RR),7,0.6722316034138203,0.7486057582537871
codex,RDS+ (RR),8,0.6531107593327761,0.7351930178701878
codex,RDS+ (RR),9,0.6681422851979733,0.7431770633604076
gsm8k,EMBED (RR),0,0.8994218781590462,7.947646439301416
gsm8k,EMBED (RR),1,0.9765532687306404,8.546255656857667
gsm8k,EMBED (RR),2,1.0098781809210777,8.515425024112126
gsm8k,EMBED (RR),3,1.0288756638765335,8.485461923007806
gsm8k,EMBED (RR),4,1.033567637205124,8.355419840028198
gsm8k,EMBED (RR),5,1.0464913696050644,8.53399812714271
gsm8k,EMBED (RR),6,1.0610296949744225,8.326746660800843
gsm8k,EMBED (RR),7,1.0405404046177864,8.62038754440782
gsm8k,EMBED (RR),8,1.0430132001638412,8.511663856969086
gsm8k,EMBED (RR),9,1.0418673977255821,8.67021583299731
gsm8k,LESS (RR),0,0.8546945452690125,8.06555814974411
gsm8k,LESS (RR),1,0.9676762074232101,8.756531186136357
gsm8k,LESS (RR),2,0.995419941842556,8.738614945270692
gsm8k,LESS (RR),3,1.0580924823880196,8.850016654305968
gsm8k,LESS (RR),4,1.0341078415513039,8.783411329672859
gsm8k,LESS (RR),5,1.0422387197613716,8.692380551590533
gsm8k,LESS (RR),6,1.0478507205843925,8.746133702012786
gsm8k,LESS (RR),7,1.0597940236330032,8.767808909123373
gsm8k,LESS (RR),8,1.0941839665174484,8.643116159634305
gsm8k,LESS (RR),9,1.0122229382395744,8.148908922037814
gsm8k,RDS+ (RR),0,0.9131276905536652,10.416443781747883
gsm8k,RDS+ (RR),1,1.0675206407904625,8.778288119665323
gsm8k,RDS+ (RR),2,1.0527531951665878,8.655020022229591
gsm8k,RDS+ (RR),3,1.0827676877379417,8.864268488735751
gsm8k,RDS+ (RR),4,1.030711404979229,8.536747637077024
gsm8k,RDS+ (RR),5,1.0482642576098442,8.561850662028997
gsm8k,RDS+ (RR),6,1.0583941116929054,8.51336031957862
gsm8k,RDS+ (RR),7,1.0417981445789337,8.39880386096587
gsm8k,RDS+ (RR),8,1.0528021678328514,8.368252958466918
gsm8k,RDS+ (RR),9,1.042711041867733,8.345478915372881
mmlu_pro,EMBED (RR),0,1.9390789542879376,3.8850830879775766
mmlu_pro,EMBED (RR),1,1.9622567321572986,3.4060544070658927
mmlu_pro,EMBED (RR),2,1.9623952448368072,4.187824908148577
mmlu_pro,EMBED (RR),3,1.9548019860472,4.0242785841147315
mmlu_pro,EMBED (RR),4,1.9613544957978384,3.9609758822207755
mmlu_pro,EMBED (RR),5,1.9348476333277567,3.323574905442272
mmlu_pro,EMBED (RR),6,1.9686572807175773,3.7919861963216928
mmlu_pro,EMBED (RR),7,2.0030044061797008,3.491880287178495
mmlu_pro,EMBED (RR),8,1.9597469210624694,4.1099236429312285
mmlu_pro,EMBED (RR),9,1.962175611938749,3.220234153722908
mmlu_pro,LESS (RR),0,1.7215643533638545,4.729786318122469
mmlu_pro,LESS (RR),1,1.914695761033467,3.4994581051943627
mmlu_pro,LESS (RR),2,1.9674302543912614,3.9194116956712874
mmlu_pro,LESS (RR),3,1.9758245536259242,4.265607265705996
mmlu_pro,LESS (RR),4,1.9784033485821315,3.8021810033576604
mmlu_pro,LESS (RR),5,1.9527771736894335,4.096562767460783
mmlu_pro,LESS (RR),6,1.9923614536012921,4.363705646791595
mmlu_pro,LESS (RR),7,2.0125624861036027,3.9369328179832626
mmlu_pro,LESS (RR),8,2.004472391945975,3.7431500153814223
mmlu_pro,LESS (RR),9,2.0366448163986206,3.6807732648919633
mmlu_pro,RDS+ (RR),0,1.914396218742643,3.613247094259776
mmlu_pro,RDS+ (RR),1,1.919364013842174,3.588615574685738
mmlu_pro,RDS+ (RR),2,1.958552986383438,3.759940166363215
mmlu_pro,RDS+ (RR),3,1.933965220621654,3.9637988313358834
mmlu_pro,RDS+ (RR),4,1.9167828134128027,3.7812448897141406
mmlu_pro,RDS+ (RR),5,1.9913392296859196,3.80233177159259
mmlu_pro,RDS+ (RR),6,1.9820293962955475,3.7623635616965907
mmlu_pro,RDS+ (RR),7,2.020039234842573,4.0137651117340205
mmlu_pro,RDS+ (RR),8,1.999371567794255,3.044567048772575
mmlu_pro,RDS+ (RR),9,2.0099215865135194,3.0352225679943854
tydiqa,EMBED (RR),0,2.80446285671658,2.330691639386794
tydiqa,EMBED (RR),1,2.9042298131518893,2.2606808807255483
tydiqa,EMBED (RR),2,2.8772664070129395,2.23380583033086
tydiqa,EMBED (RR),3,2.6955120497279697,2.141482396721576
tydiqa,EMBED (RR),4,2.6977017919222512,2.1257478933732226
tydiqa,EMBED (RR),5,2.8715712428092957,2.2592616763075246
tydiqa,EMBED (RR),6,2.8053422106636896,2.246220666512345
tydiqa,EMBED (RR),7,2.7080857356389365,2.16428295389531
tydiqa,EMBED (RR),8,2.795410282082028,2.234828549836573
tydiqa,EMBED (RR),9,2.848435163497925,2.303572451027713
tydiqa,LESS (RR),0,1.183576203054852,1.5357205052048362
tydiqa,LESS (RR),1,2.2291053069962397,1.8954192084631383
tydiqa,LESS (RR),2,2.6294115251964993,2.0810644152675684
tydiqa,LESS (RR),3,2.733052783542209,2.160134175607796
tydiqa,LESS (RR),4,2.725001182821062,2.200347727307342
tydiqa,LESS (RR),5,3.003558463520474,2.320437004589761
tydiqa,LESS (RR),6,3.0684146218829684,2.3599968229647765
tydiqa,LESS (RR),7,3.0308365292019315,2.3302582686112836
tydiqa,LESS (RR),8,3.2404746347003512,2.516982198242881
tydiqa,LESS (RR),9,3.2698641220728555,2.5283257144541635
tydiqa,RDS+ (RR),0,2.929872155189514,2.3400914715740573
tydiqa,RDS+ (RR),1,2.6412912607192993,2.102168410033962
tydiqa,RDS+ (RR),2,2.5981400277879505,2.049398412026563
tydiqa,RDS+ (RR),3,2.7808965047200522,2.1732082116328253
tydiqa,RDS+ (RR),4,2.996448834737142,2.2833983840643537
tydiqa,RDS+ (RR),5,2.9163781139585705,2.2710336863353295
tydiqa,RDS+ (RR),6,2.932463546593984,2.3365407738983572
tydiqa,RDS+ (RR),7,2.9024608201450772,2.354817938749301
tydiqa,RDS+ (RR),8,2.8649536437458463,2.2973893532888647
tydiqa,RDS+ (RR),9,2.919143623775906,2.3456639336737233
